lname,n
WAYCASTER,3
WAYNE,2
WEATHERELL,2
WEATHERMAN,22
WEAVER,5
WEBB,81
WEBBER,3
WEBER,5
WEBSTER,4
WEDDINGTON,2
WEEKS,11
WEGELIN,1
WEIDMAN,4
WEIDO,4
WEIMER,4
WEINMEISTER,4
WEIR,8
WEISFELD,2
WEISGERBER,2
WEISMAN,1
WELLER,7
WELLS,7
WELSH,1
WELTER,2
WELTON,1
WEMPLE,2
WERNER,1
WESSEL,6
WEST,11
WESTALL,63
WESTBROOK,8
WETH,2
WETHINGTON,4
WEXLER,2
WEYHMILLER,1
WHALEN,1
WHEELER,91
WHEELER-DAWLEY,2
WHELAN,2
WHETSTINE,6
WHISTON,1
WHITAKER,5
WHITE,25
WHITEHEAD,21
WHITEHOUSE,4
WHITEHURST,4
WHITESIDE,9
WHITFIELD,2
WHITING,2
WHITINGTON,2
WHITLEY,6
WHITSON,247
WHITT,21
WHITTAKER,1
WHITTINGTON,4
WHITTLESEY,2
WHORTEN,3
WIDAWSKI,5
WIDENER,1
WIDMANN,1
WIEBE,2
WIEDENHAUPT,8
WIEHRS,2
WIGGINS,6
WIGHTMAN,2
WIKER,2
WILBANKS,1
WILBER,4
WILBURN,5
WILCOX,3
WILD,2
WILDE,1
WILDS,5
WILES,1
WILEY,4
WILHELM,3
WILKERSON,1
WILKES,2
WILKINSON,7
WILL,2
WILLARD,2
WILLETT,5
WILLIAMS,151
WILLIAMS BEAVER,1
WILLIAMSON,12
WILLIG,5
WILLIS,67
WILLOUGHBY,1
WILMER,4
WILMOTH,2
WILSON,595
WIMBERLY,4
WINANS,2
WINCHELL,2
WINDERS,2
WINEBARGER,7
WINEBERG,4
WINFREE,2
WING,1
WINGLER,1
WINKLER,3
WINSOR,2
WINTER,1
WINTERS,22
WISCH,4
WISE,16
WISEMAN,11
WITHERINGTON,2
WITHERS,3
WITHERSPOON,7
WITT,4
WITTEN,2
WITTERS,2
WITWER,1
WOJTAS,1
WOLD,4
WOLF,3
WOLFE,4
WOLFF,4
WOLFORD,4
WOMACK,9
WOMBLE,2
WONG,2
WOOCK,4
WOOD,38
WOODARD,15
WOODBY,89
WOODDY,4
WOODIE,2
WOODS,5
WOODWARD,6
WOODY,204
WOOLBRIGHT,1
WOOLF,4
WOOTEN,3
WORDEN,5
WORKMAN,7
WORLEY,8
WORSHAM,5
WRIGHT,65
WULFF,2
WYANDT,5
WYANT,5
WYATT,73
WYKLE,4
WYMAN,2
WYNN,7
WYRICK,1
XU,2
YACCARINO,2
YAFFE,4
YANG,6
YARBORO,1
YARBOROUGH,7
YARBROUGH,5
YATES,2
YEATER,4
YELTON,31
YINGLING,1
YINHAR,1
YLINEN,2
YON,1
YONKER,1
YONTS,3
YORK,10
YOUNG,255
YUE,2
YUZIUK,2
ZAGARA,1
ZANETTI,1
ZEBROWSKI,7
ZECH,1
ZEILLER,1
ZEISS,2
ZELASKO,2
ZELBACHER,1
ZELLMER,2
ZERN,4
ZIDAN,2
ZIEGELMEIER,11
ZIEMBA,4
ZIETLOW,5
ZILLWEGER,2
ZIMMER,2
ZIMMERMAN,2
ZIOR,1
ZITNEY,6
ZOLTON,1
ZUKAITIS,1
ZULICK,2
ZULLINGER,1
ZURBRICK,4
ZYNDA,1
