fname,n
DORA,12
DORAN,2
DORCAS,1
DOREEN,4
DORIAN,2
DORICE,2
DORIS,68
DORNETTA,2
DOROTHE,1
DOROTHY,72
DORRIS,1
DOSS,1
DOUG,3
DOUGLAS,69
DOVE,1
DOVER,1
DOVIE,1
DOYCE,2
DOYLE,16
DRAKE,1
DREW,4
DUANE,5
DUARAD,2
DUBELSA,1
DUDLEY,2
DUKE,2
DUNCAN,4
DUSTIN,42
DUSTON,1
DUSTY,4
DUSTYN,2
DWAIN,3
DWAINE,1
DWAYNE,10
DWIGHT,18
DYLAN,16
E,8
EARL,43
EARLEEN,2
EARLENE,7
EARLEY,2
EARMEL,2
EARNEST,2
EASTER,1
EBBIE,2
EBONY,2
ED,2
EDA,2
EDD,21
EDDEAN,2
EDDIE,39
EDDITH,2
EDDY,3
EDGAR,18
EDGLEE,2
EDISON,2
EDITH,28
EDMOND,2
EDMUND,1
EDNA,25
EDSEL,2
EDWARD,89
EDWIN,15
EFFIE,4
EILEEN,3
ELAINE,30
ELANA,2
ELANE,2
ELARA,1
ELBERT,9
ELBERTA,1
ELDON,3
ELEANOR,3
ELEC,2
ELENA,2
ELENE,2
ELFRIEDE,1
ELGIN,2
ELIAS,1
ELIGE,1
ELIJAH,3
ELINOR,1
ELIOT,1
ELISA,1
ELISABETH,4
ELISE,3
ELISHA,2
ELIZA,2
ELIZABETH,141
ELIZAH,2
ELKE,2
ELLA,17
ELLEN,24
ELLENA,2
ELLEREE,2
ELLIOT,1
ELLIS,5
ELMA,2
ELMER,8
ELMO,2
ELOISE,24
ELOUISE,2
ELSIE,4
ELTON,1
ELVA,4
ELVINA,2
ELYJAH,2
ELZIE,2
EMBER,1
EMERSON,6
EMERY,5
EMILEE,3
EMILIE,2
EMILY,54
EMMA,23
EMMA-LOU,1
EMMANUEL,1
EMMER,2
EMMETT,2
EMMIT,1
EMOGENE,6
EMORY,6
EMRY,1
ENA,2
ENDRE',2
ENID,3
ENNIS,2
