fname,n
LUCINDA,7
LUCRECIA,1
LUCRETIA,2
LUCY,15
LUEY,2
LUIS,6
LUKE,10
LUKUS,1
LULA,3
LURENE,2
LUTHER,6
LUTIE,1
LYDA,6
LYDIA,17
LYDON,2
LYLE,5
LYNDA,10
LYNDON,3
LYNDSAY,2
LYNDSEY,1
LYNEL,2
LYNELLA,1
LYNETTE,3
LYNN,22
LYNNANN,2
LYNNE,4
LYNNELLA,1
LYNNETTE,2
M,4
MABEL,1
MABLE,5
MAC,2
MACDONALD,2
MACIE,1
MACK,18
MACKENZIE,2
MADALYN,1
MADELINE,6
MADELYN,2
MADGE,15
MADISON,6
MADLYN,2
MADONNA,2
MAE,7
MAEDELL,1
MAELYN,1
MAFRA,4
MAFREY,2
MAGALENE,1
MAGDALENE,2
MAGDALINE,2
MAGGIE,5
MAIA,1
MAISIE,2
MAJORIE,1
MAKAYLA,4
MAKEDAH,2
MAKENZIE,1
MALACHI,1
MALCOLM,2
MALENA,2
MALIKI,1
MALINDA,5
MALLIE,2
MALLORY,2
MAMIE,6
MAMTA,1
MANDA,1
MANDEL,2
MANDOLYN,1
MANDY,8
MANUEL,5
MAPHRA,9
MAPHRIE,1
MARC,6
MARCELLA,4
MARCELLO,1
MARCH,2
MARCHETA,1
MARCHETTA,1
MARCIA,26
MARCILLA,2
MARCUS,8
MARENDA,2
MARENE,2
MARGARET,108
MARGARET-JEAN,1
MARGARET - JEAN,1
MARGARETA,2
MARGARETTE,2
MARGARITA,1
MARGARITO,1
MARGARRET,1
MARGERY,2
MARGIE,15
MARGO,2
MARGUERITE,1
MARI,2
MARIA,23
MARIAH,1
MARIAN,9
MARIANNE,1
MARIBEL,1
MARIBETH,1
MARICE,2
MARICELA,1
MARIE,43
MARIEKA,2
MARIEL,2
MARIETTA,2
MARILYN,34
MARINA,4
MARINETTE,2
MARION,7
MARISHA,2
MARISSA,3
MARITZA,1
MARJORIE,21
MARK,117
MARKETTA,1
MARKETTE,1
MARLA,7
MARLEAN,2
MARLEECE,2
MARLENE,6
MARLIN,2
MARLO,1
MARNIE,3
MAROLYN,1
MARQUERITE,1
MARQUITA,2
MARQUITTA,2
MARRISA,2
MARSHA,22
MARSHALL,8
MARTHA,70
MARTIE,2
MARTIN,39
MARTINIQUE,2
MARTY,11
MARVELENE,2
MARVETTA,2
MARVIN,48
MARY,404
MARY-LEE,2
MARY ANN,2
MARY ANNE,2
MARY BETH,2
MARY JO,1
MARY LOU,1
MARY MARGARET,2
MARY RUTH,1
MARYALLEN,2
MARYAN,2
MARYANN,6
MARYANNE,1
MASEL,2
MASON,4
MATELLA,2
MATHEW,4
MATILDA,2
MATOKA,2
MATTHEW,115
MATTIE,5
MAUD,4
MAUDE,10
MAUDIE,1
MAUREEN,9
MAURICE,12
MAURINE,2
MAUVELINE,2
MAX,20
MAXI,1
MAXIE,3
MAXINE,16
MCARTHUR,2
MCIVA,2
MEAGAN,4
MECHEEL,2
MECHELL,2
MECHELLE,4
MEDEA,1
MEGAN,37
MEGHAN,12
MEL,2
MELANIE,37
MELBA,3
MELENA,4
MELIA,1
MELINA,2
MELINDA,25
MELISA,5
MELISCA,2
MELISSA,135
MELODY,5
MELVIN,18
MELVYN,2
MELYNDA,2
MEREDITH,3
MEREDYTH,2
MERELYN,2
MERIANNE,2
MERIDETH,1
MERIKATON,2
MERINDA,4
MERRIE,2
MERRIETTA,1
MERRITT,1
MESHA,1
MESHELIA,2
MET,1
MEVELYN,2
MIA,3
MIANNA,1
MICAELA,2
MICAH,7
MICHAEL,401
MICHAELA,2
MICHAELE,1
MICHEAL,9
MICHEL,1
MICHELA,2
MICHELE,28
MICHELLE,81
MICKEY,3
MIGDALIA,2
MIGNON,2
MIGUEL,5
MIIKA,2
MIKAYLA,4
MIKE,12
MIKEL,1
MIKELENA,2
MIKHAYLA,1
MILA,2
MILDRED,58
MILES,6
MILFORD,2
MILIDENE,2
MILLER,2
MILLIDENE,2
MILLIE,8
MILTON,6
MINA,2
MINDY,2
MINH,2
MINNIE,10
MINNIE MARY,2
MIRA,2
MIRANDA,19
MIRIAM,8
MISHER,1
MISSOURI,2
MISSY,2
MISTY,33
MITCHELL,30
MITCHELLE,2
MITZI,2
MITZIE,3
MOCHELLE,1
MOLLIE,4
MOLLY,14
MOLT,3
MONA,26
MONALISA,3
MONELLE,2
MONICA,17
MONITA,2
MONNIE,2
MONTANA,3
MONTE,2
MORGAN,21
MORGANNE,1
MORIAH,2
MORRIS,20
MORRISE,2
MOZELL,4
MOZELLE,2
MUHAMMAD,2
MURAD,1
MURIEL,4
MURPH,3
MURRAY,3
MURRELL,2
MYA,1
MYHRIA,2
MYKYLA,1
MYRA,18
MYREON,2
MYRIA,2
MYRIL,2
MYRLE,2
MYRNA,6
MYRON,1
MYRTLE,4
NAAMON,2
NADINE,3
NAN,5
NANCEY,2
NANCI,2
NANCIE,1
NANCY,155
NANETTE,2
NANNIE,2
NAOMI,17
NAQUICI,1
NAS,2
NASH,1
NAT,2
NATALIA,2
NATALIE,12
NATASHA,11
NATAYA,2
NATEARA,1
NATEARE,1
NATHAN,49
NATHANAEL,1
NATHANIEL,11
NATISHA,1
NATT,2
NAVIN,1
NEAL,4
NEALY,3
NEBRASKA,2
NED,13
NEIL,6
NELDA,5
NELL,20
NELLE,2
NELLENE,2
NELLIE,14
NELSON,5
NENA,4
NERISSA,2
NETA,2
NETTI,1
NETTIE,3
NEVA,3
NICHCALS,1
NICHLIOUS,2
NICHOLAI,1
NICHOLAS,51
NICHOLE,3
NICHOLETTE,2
NICK,8
NICKIE,2
NICKOLAS,1
NICKY,2
NICOLA,1
NICOLAS,5
NICOLE,34
NIKITA,1
NIKKI,1
NIKKOL,1
NIKOLAI,2
NIKOLAS,2
NILES,4
NILS,2
NINA,32
NIRAVKUMAR,1
NISHA,1
NITA,2
NOAH,14
NOEL,4
NOLA,7
NORA,19
NORBERT,1
NORITA,1
NORMA,61
NORMAN,21
NORRIS,2
NORWOOD,2
NYCOLE,2
NYSSA,1
O,2
OAKLAND,2
OATHER,1
OCTAVIA,1
OCTAVIUS,1
OCTIVIA,1
ODALIS,1
ODELL,2
ODETTE,2
OFELIA,2
OLA,3
OLENA,2
OLGA,2
OLIVER,5
OLIVIA,12
OLLIE,6
OLLIS,2
OMA,2
OMAR,2
ONA,2
ONEDA,2
OPAL,16
OPHA,4
ORA,4
ORAN,1
ORIN,2
ORPHA,2
ORUS,1
ORVILLE,2
ORVIS,1
OSCAR,9
OSS,2
OSSIE,5
OTHA,2
OTIS,4
OTTO,1
OUIDA,5
OVEL,2
OWEN,3
P,2
PACE,2
PAGE,4
PAIGE,3
PALMA,5
PAM,3
PAMALA,1
PAMELA,93
PAMELIA,2
PAMILA,2
PANSY,13
PAOLO,1
PARALEE,2
PARIS,4
PARZADY,2
PAT,7
PATRICA,2
PATRICIA,199
PATRICK,36
PATRISHA,1
PATRYK,2
PATSY,36
PATTI,13
PATTIE,4
PATTY,2
PAUL,155
PAULA,32
PAULETTE,8
PAULINE,33
PAYTON,3
PEARL,16
PEARSON,2
PEGGY,56
PEGI,2
PEIRCE,2
PENDER,2
PENELOPE,5
PENNIE,1
PENNY,20
PERIJO,2
PERNELL,1
PERRY,13
PERSEPHONE,1
PERVIS,1
PETE,3
PETER,25
PETTY,2
PHENELOPE,2
PHEOBE,2
PHIL,2
PHILIP,25
PHILLIP,81
PHILMORE,2
PHILP,1
PHOEBE,2
PHYILLIS,2
PHYLIS,2
PHYLLIS,38
PIERRE,1
PILLIP,2
PINK,1
PINKNEY,2
POLLY,13
PONDA,2
POPPY,2
PRESTON,3
PRICE,1
PRISCILLA,13
PRITCHARD,2
QUENTIN,1
QUINTON,2
R,7
R.L.,1
RABON,2
RACHAEL,9
RACHEAL,3
RACHEL,60
RACHELLE,1
RAE,3
RAEGAN,2
RAGAN,3
RAINIE,2
RAJNI,5
RALEIGH,3
RALENE,2
RALPH,56
RAMONA,13
RANDAL,7
RANDALL,91
RANDEL,2
RANDELL,3
RANDI,4
RANDLE,2
RANDOLPH,5
RANDY,75
RANIA,2
RANIS,2
RANSOM,2
RAQUEL,2
RASHEL,2
RASSIE,3
RAVEN,5
RAY,34
RAYBURN,2
RAYE,1
RAYLENE,1
RAYMOND,53
RAYMOTH,2
RDELL,1
REAGAN,1
REAMONA,2
REANNA,2
REBA,13
REBECA,2
REBECCA,144
REBEKAH,5
REBEKKAH,2
REDMON,1
REECE,17
REED,2
REESE,1
REGAN,1
REGGIE,2
REGINA,49
REGINALD,2
REINHOLD,1
REMA,2
REMELLE,2
REMONA,1
RENA,5
RENATA,4
RENATE,5
RENE,6
RENEASE,2
RENEE,25
RENEE',8
RESA,2
RETHA,2
RETIE,2
REUBEN,2
REVONDA,4
REX,13
REXTER,4
RHEA,3
RHEBA,2
RHODA,1
RHODICA,1
RHONDA,36
RIANNE,1
RICHARD,216
RICHARDSON,1
RICHMOND,4
RICK,5
RICKEY,18
RICKIE,4
RICKSHELL,2
RICKY,72
RILEY,3
RIO,2
RITA,54
RL,1
ROB,2
ROBBIE,17
ROBERT,448
ROBERTA,15
ROBEY,2
ROBIN,27
ROBINETTE,1
ROBY,6
ROBYN,9
ROCHELLE,2
ROCKY,6
RODERICK,2
RODGER,2
RODNEY,43
ROEMELDA,2
ROGER,103
ROLAND,4
ROLF,3
ROLLINS,1
ROMA,2
ROMNEY,2
ROMY,2
RON,2
RONALD,138
RONDA,4
RONKSLEY,2
RONNA,3
RONNIE,69
RONNY,2
ROOSEVELT,2
RORY,3
ROSA,8
ROSALYN,2
ROSANNA,1
ROSANNE,1
ROSCO,2
ROSCOE,9
ROSE,25
ROSEANN,2
ROSEANNE,2
ROSELLA,2
ROSELYN,2
ROSEMARIE,3
ROSEMARY,4
ROSETTA,2
ROSIA,2
ROSIE,4
ROSS,6
ROTHA,3
ROTHIE,4
ROWAN,2
ROWENA,2
ROXANE,1
ROXANN,2
ROXANNA,2
ROXANNE,1
ROY,62
ROYAL,4
ROYCE,12
RUBY,65
RUFORD,2
RUFUS,6
RUSH,2
RUSHA,2
RUSS,1
RUSSELL,54
RUTH,79
RUTHIE,4
RYAN,44
RYLIE,2
RYLYNN,2
S,4
SABRA,8
SABRINA,14
SADIE,3
SAHN,1
SALLIE,2
SALLY,22
SALVADOR,1
SALVATORE,3
SAM,13
SAMANTHA,42
SAMANTHE,2
SAMANTHIA,2
SAMIA,1
SAMIR,1
SAMMIE,4
SAMMY,8
SAMUEL,75
SANDRA,159
SANDY,9
SANFORD,4
SANJA,2
SANNA,2
SANTANA,2
SANUEL,1
SARA,45
SARA ELIZABETH,1
SARAH,112
SASHA,4
SASKIA,2
SATHER,1
SAUL,2
SAVANAH,1
SAVANNA,3
SAVANNAH,10
SAVIO,2
SAYRE,2
SCARLETT,3
SCHELL,2
SCOT,2
SCOTT,54
SCOTTIE,6
SCOTTY,11
SEAN,11
SEBREENA,1
SEBRINA,2
SEGAL,2
SELENA,3
SELINDA,2
SELMA,1
SENIA,2
SERA,1
SERAFINA,1
SERENA,4
SERINA,1
SETH,14
SEVANNA,1
SHAARONDA,4
SHAINA,1
SHANA,5
SHANDA,1
SHANDRA,1
SHANE,24
SHANNA,10
SHANNAH,2
SHANNON,56
SHANTELL,1
SHAREEN,2
SHARLA,2
SHARLEEN,4
SHAROLYN,2
SHARON,136
SHARRON,2
SHARRYL,2
SHARYN,2
SHASHONIA,2
SHASTA,2
SHAULA,1
SHAUN,2
SHAW,1
SHAWN,27
SHAWNA,2
SHAYLEE,1
SHAYNA,1
SHEA,6
SHEALEIGH,1
SHEENA,6
SHEHLA,2
SHEILA,50
SHEILAH,2
SHELAH,2
SHELBA,6
SHELBY,39
SHELDA,2
SHELDON,2
SHELIA,6
SHELLA,2
SHELLEY,10
SHELLIE,2
SHELLY,13
SHENTELL,2
SHERAN,2
SHEREA',2
SHERIE,2
SHERILL,2
SHERLY,1
SHERMAN,5
SHERON,2
SHERRI,13
SHERRIE,8
SHERRILL,3
SHERRY,62
SHERWOOD,2
SHERYL,5
SHEVIA,2
SHIELA,3
SHIRL,3
SHIRLEEN,2
SHIRLEY,89
SHIRLYN,2
SHIRREL,2
SHONDA,1
SHONTE,1
SHOSHANNA,1
SHOSHONIA,2
SHYANN,1
SHYANNA,2
SIDNEY,10
SIERA,1
SIERRA,3
SILAS,5
SILVER,1
SILVIA,1
SIMONE,2
SINNA,1
SIXTON,2
SKYLAR,1
SKYLER,5
SOHPIA,1
SOMER,3
SOMMER,3
SONDRA,11
SONJA,9
SONNY,2
SONYA,21
SOPHIA,1
SOYNA,1
SPENCER,11
STACEY,18
STACI,6
STACIE,12
STACY,18
STAN,1
STANCIL,2
STANFORD,3
STANLEY,48
STANTON,2
STARLA,2
STARLAN,4
STARLI,2
STEFAN,2
STELLA,10
STEN,2
STEPHANIE,62
STEPHEN,88
STEPHON,2
STEPHYNIA,3
STERGIAL,2
STERLING,1
STEVE,37
STEVEN,95
STEVIE,2
STEWART,8
STOKES,2
STORMMIE,1
STORMY,2
STUART,10
SUANNE,1
SUE,13
SUEHONOR,1
SUEL,1
SUELLEN,1
SUESIE,2
SUMMER,9
SUNDI,2
SUNNY,3
SUSAN,161
SUSANA,1
SUSIE,5
SUSSIE,2
SUVANNAH,1
SUZANNA,2
SUZANNE,10
SUZETTE,4
SYBIL,4
SYDNEY,6
SYLVESTER,2
SYLVIA,30
SYMATHA,1
T,2
TABATHA,3
TABBATHA,2
TABETHA,3
TABITHA,10
TADJ,1
TAL,2
TALLIE,1
TALMADGE,1
TAMAR,1
TAMARA,16
TAMATHA,1
TAMBARA,2
TAMBRA,1
TAMELA,3
TAMERA,5
TAMI,2
TAMMEY,2
TAMMI,3
TAMMIE,3
TAMMY,123
TAMMYMAE,1
TANGERINE,1
TANGI,3
TANIS,2
TANJA,2
TANNA,2
TANNER,4
TANYA,12
TARA,12
TARO,1
TARRELL,2
TASHA,2
TASHEENA,2
TATE,2
TATIANA,2
TAUBE,1
TAWANA,2
TAWN,2
TAYLOR,34
TAYOLR,1
TEAD,2
TEAH,2
TED,29
TEDDY,13
TEELIA,2
TEENA,2
TELENA,1
TELINA,2
TENISHA,2
TENNIE,2
TEQUILA,2
TERENCE,2
TERESA,108
TERESSA,4
TERRA,2
TERRANCE,1
TERRELL,8
TERRENCE,6
TERRI,12
TERRICA,1
TERRY,80
TERY,1
TESSA,1
TESSIE,2
THAD,2
THAMARA,1
THANNA,2
THEA,1
THELMA,38
THELTON,1
THEODORA,1
THEODORE,10
THERESA,31
THERESE,1
THERLENE,2
THOMAS,235
THOME,1
THULA,4
THURLENE,1
THURLINE,1
THURMA,2
THURMAN,8
THURSTON,2
TIADRA,1
TIANA,1
TICIE,2
TIFFANY,34
TIFFIANI,1
TILDA,1
TILDEN,1
TILMAN,2
TIM,12
TIMMY,3
TIMOTHY,142
TINA,33
TIPHANY,2
TITUS,2
TOBIN,2
TOBY,2
TODD,27
TOLLIE,1
TOM,10
TOMMIE,8
TOMMY,48
TOMMYJON,2
TONA,1
TONDA,2
TONEY,2
TONI,6
TONIA,9
TONY,49
TONYA,46
TOSHA,2
TOYEE,2
TRACEY,2
TRACI,4
TRACIE,7
TRACY,47
TRAVIS,31
TRAYA,2
TRE,2
TREIS,1
TRENA,6
TRENT,1
TRENTON,6
TRESSA,6
TRESSIA,2
TREVA,4
TREVOR,5
TREY,3
TRIA,2
TRISHA,2
TRISTAN,3
TRISTIAN,1
TRIXANNA,2
TROY,22
TRUDEE,1
TRUDY,2
TRUE,2
TRULA,8
TRULEY,2
TRULY,1
TRUMAN,2
TUCKER,4
TURNER,2
TYLER,23
TYRA,1
TYRINA,2
TYRONE,1
U,2
ULES,2
ULRIKE,2
UNA,5
UNIEDA,2
URSULA,2
USHA,2
V,4
VADA,4
VADIA,2
VADITH,2
VALENCIA,2
VALERIE,18
VALORIE,2
VAN,2
VANCE,9
VANESSA,21
VANETTE,2
VARINA,1
VAUGHN,4
VAUGHTIE,6
VEARL,2
VELDA,2
VELEDIA,1
VELENA,2
VELMA,3
VELVA,3
VENA,2
VENETA,2
VENIAMIN,2
VENICE,2
VENITA,8
VERA,10
VERGIE,1
VERLAND,2
VERLIN,1
VERLINA,1
VERLINE,1
VERLON,1
VERLYN,1
VERN,4
VERNE,2
VERNELL,2
VERNIS,2
VERNON,21
VERONICA,14
VERONICE,2
VERZELLA,1
VESTA,2
VESTER,2
VESTI,2
VHONDA,2
VICKEY,2
VICKI,24
VICKIA,1
VICKIE,39
VICKY,7
VICTOR,19
VICTORIA,37
VIDA,1
VIKI,2
VILAS,2
VIMARY,1
VINCENT,13
VINITA,3
VINNA,2
VIOLA,14
VIOLET,24
VIRGIL,3
VIRGINA,1
VIRGINIA,61
VIVALINE,1
VIVIAN,11
VIVIANNE,2
VOLA,1
VONNO,2
VRIESYDA,1
VYRON,2
W,6
WADE,37
WALLACE,8
WALTER,41
WANDA,112
WARD,14
WARNER,3
WARREN,17
WASEEM,2
WATES,2
WATSON,2
WAYLON,4
WAYMAN,2
WAYNE,43
WELCH,2
WELDON,4
WELZIE,7
WENDEE,2
WENDELL,4
WENDI,3
WENDY,34
WERNER,1
WESLEY,14
WESTON,2
WHITLEY,5
WHITNEY,21
WIECHER,1
WILBURN,2
WILDA,2
WILFORD,2
WILFRED,4
WILFREDO,1
WILHELMINA,2
WILKIE,2
WILL,2
WILL A MAE,2
WILLA,5
WILLANNE,2
WILLARD,11
WILLFRED,2
WILLIAM,478
WILLIE,37
WILLIS,8
WILLORE,1
WILLOREE,7
WILMA,43
WILSON,5
WINDOL,2
WINDY,2
WINFIELD,2
WINFRED,2
WINIFRED,2
WINNIE,7
WINSTON,1
WOODROW,5
WOODY,2
WORTH,6
WRIS,2
WULFRANO,2
WYATT,2
WYLIE,2
WYMAN,4
XAVIER,2
YAFFA,2
YANCEY,2
YANNI,1
YEHUDIT,1
YEVONNE,2
YING,2
YOLANDA,4
YOUNG,1
YVES,1
YVETTE,2
YVONNE,26
ZACH,1
ZACHARIAH,2
ZACHARY,30
ZACHERIAH,1
ZACHERY,1
ZACKIE,2
ZACKRY,2
ZEB,2
ZEBULON,3
ZEBULUN,1
ZEKE,1
ZELIA,1
ZELMA,2
ZENAS,2
ZENEBIA,2
ZENUS,2
ZETTA,4
ZOE,2
ZOLA,2
ZONA,4
ZORA,1
ZULA,5
ZULENE,2
ZVI,1
ZYNDALL,2
