fname,src,n
BLONDIE,A,1
BLYTHE,A,1
BLYTHE,B,1
BO,A,1
BO,B,1
BOB,A,3
BOB,B,3
BOBBI,B,1
BOBBIE,A,5
BOBBIE,B,7
BOBBY,A,58
BOBBY,B,55
BOBBYE,A,2
BOBETT,A,1
BOBETT,B,1
BODOSKY,A,1
BONITA,A,3
BONITA,B,2
BONNI,A,1
BONNI,B,1
BONNIE,A,22
BONNIE,B,22
BONNY,B,1
BOON AI,B,1
BOYD,A,6
BOYD,B,6
BRAD,A,1
BRAD,B,1
BRADFORD,A,1
BRADFORD,B,1
BRADLEE,A,1
BRADLEY,A,19
BRADLEY,B,17
BRADY,A,2
BRADY,B,1
BRANDI,A,19
BRANDI,B,18
BRANDIE,A,2
BRANDON,A,31
BRANDON,B,40
BRANDY,A,18
BRANDY,B,18
BRANIS,A,1
BRANNIGAN,A,1
BRANNIGAN,B,1
BRANSON,A,1
BRANSON,B,1
BRANT,A,1
BRANT,B,1
BREANNA,B,1
BREEANNA,A,1
BREEANNA,B,1
BRENDA,A,73
BRENDA,B,72
BRENNA,A,1
BRENNA,B,2
BRENNAN,A,1
BRENNAN,B,2
BRENT,A,4
BRENT,B,5
BRENTIN,B,1
BRETT,A,8
BRETT,B,9
BRIAN,A,56
BRIAN,B,55
BRIANA,B,2
BRIANNA,B,3
BRIANNE,B,1
BRIDGET,A,4
BRIDGET,B,4
BRIDGETT,A,2
BRIDGETT,B,2
BRIDGETTE,A,1
BRIDGIT,A,1
BRINKLEY,A,2
BRINKLEY,B,3
BRINKLI,B,1
BRINTON,A,1
BRINTON,B,1
BRITANY,A,1
BRITANY,B,1
BRITNEY,A,2
BRITNEY,B,2
BRITON,A,1
BRITON,B,1
BRITT,A,2
BRITT,B,1
BRITTA,A,1
BRITTA,B,1
BRITTANEE,A,1
BRITTANEE,B,1
BRITTANNIE,A,1
BRITTANY,A,21
BRITTANY,B,29
BRITTNEY,A,6
BRITTNEY,B,9
BRITTNI,B,1
BROCK,A,1
BROCK,B,1
BRODY,A,1
