lname,src,n
JOURDAIN,B,2
JOYCE,A,4
JOYCE,B,3
JUCKEM,B,3
JUDGE,A,1
JUDGE,B,1
JULIAN,A,1
JUSTICE,A,6
JUSTICE,B,4
KABINOFF,B,1
KADDATZ,B,1
KAECK,A,2
KAECK,B,2
KAESLER,A,1
KAHN,A,1
KAHN,B,2
KALASCHENKOW,B,2
KALUZYNSKI,A,3
KALUZYNSKI,B,2
KAMPER,A,3
KAMPER,B,3
KANABY,B,1
KANIPE,A,2
KANIPE,B,2
KARDULIS,A,8
KARDULIS,B,9
KASEMAN,A,1
KATES,A,4
KATES,B,4
KATHERMAN,B,2
KATZ,A,1
KATZ,B,1
KAUFMANN,A,1
KAUFMANN,B,1
KAULF,A,2
KAULF,B,2
KAUTZ,A,1
KAUTZ,B,1
KAY,B,2
KECK,A,2
KECK,B,1
KEEFER,A,1
KEEFER,B,2
KEEN,A,1
KEEN,B,1
KEENE,A,1
KEENE,B,2
KEENER,A,3
KEENER,B,4
KEETER,A,1
KEETER,B,1
KEGLEY,A,6
KEGLEY,B,7
KEISTER,B,1
KEITH,A,1
KELLER,A,2
KELLER,B,1
KELLEY,A,3
KELLEY,B,2
KELLMAN,A,1
KELLMAN,B,1
KELLY,A,13
KELLY,B,5
KELMER,B,1
KELSEY,B,1
KEMP,A,1
KENDALL,A,3
KENNEDY,A,5
KENNEDY,B,6
KENNON,A,1
KENNON,B,1
KENNY,A,1
KENT,A,4
KENT,B,5
KERLEY,A,3
KERLEY,B,3
KERSHNER,A,1
KERSHNER,B,1
KEY,A,3
KEY,B,1
KEYES,A,2
KEYES,B,3
KHALID,B,1
KHAN,A,3
KHAN,B,3
KIDDELL,B,2
KIELY,A,2
KIELY,B,2
KIGER,B,2
KILBY,A,1
KILGORE,A,3
KILLIAN,A,1
KILLIAN,B,1
KIMBALL,A,3
KIMBALL,B,2
KIMBLE,A,1
KIMBLE,B,1
KINARD,A,1
KINARD,B,1
KINCAID,A,2
KINCAID,B,2
KINDBERG,A,1
KINDBERG,B,1
KING,A,57
KING,B,54
KINNANE,A,1
KINNANE,B,1
KINSEY,A,3
KINSEY,B,4
KIRBY,A,1
KIRBY,B,1
KIRK,A,2
KIRK,B,2
KIRKLAND,A,4
KIRKLAND,B,5
KIRKMAN,A,2
KIRKMAN,B,3
KIRKPATRICK,A,2
KIRKPATRICK,B,2
KIRTON,A,2
KIRTON,B,2
KISER,A,2
KISER,B,2
KISIELEWSKI,B,2
KIVETTE,A,2
KIVETTE,B,2
KIZER,A,2
KIZER,B,2
KLEIN,A,4
KLEIN,B,5
KLEISS,A,4
KLEISS,B,2
KLINE,A,1
KLOIBER,A,2
KLOIBER,B,2
KLUMPP,B,1
KNAUER,A,1
KNAUER,B,1
KNEIDEL,B,1
KNIGHT,A,3
KNIGHT,B,5
KNIGHTEN,B,1
KNOTT,A,1
KNOTT,B,2
KNOWLES,A,4
KNOWLES,B,4
KNUDSEN,A,2
KNUDSEN,B,2
KNUTSON-SAYER,B,1
KOBEY,B,1
KOCH,A,2
KOCH,B,1
KOENIG,A,1
KOENIG,B,1
KOERBER,B,2
KOERNER,A,1
KOERNER,B,1
KOHN,B,1
KOLZ,A,2
KOLZ,B,2
KOONTS,A,1
KOONTS,B,1
KOOPS,A,1
KOOPS,B,2
KOPFLER,A,1
KOPFLER,B,1
KOSDERKA,A,2
KOSDERKA,B,2
KOVACS,B,1
KRAFCIK,A,2
KRAFCIK,B,2
KRAGTEN,A,1
KRAGTEN,B,1
KRAJEWSKI,A,2
KRAJEWSKI,B,2
KRAMER,A,3
KRAMER,B,2
KRATZ,A,1
KRAUSE,A,5
KRAUSE,B,6
KRETLOW,A,1
KRETLOW,B,1
KRIDELER,A,1
KRINER,B,2
KROEN,A,2
KROEN,B,2
KROFT,B,2
KROG,A,2
KROG,B,2
KROHN,A,1
KROHN,B,2
KROUGH,A,2
KROUGH,B,1
KRUEGER,A,2
KRUEGER,B,2
KRUPP,A,1
KRUPP,B,1
KRUPPENBACH,A,1
KRUPPENBACH,B,1
KRUSE,B,1
KRYWICK,A,1
KRYWICK,B,1
KUDOS,A,1
KUHL,A,2
KUHL,B,2
KUHLENBECK,B,1
KUHN,B,4
KULA,A,2
KULPA,A,2
KULPA,B,3
KURKIMILIS,A,2
KURKIMILIS,B,3
KURSCHNER,B,1
KUTCHERA,A,2
KUTCHERA,B,2
KYLE,B,1
LA-ROCHE,A,1
LA-ROCHE,B,1
LA FERLA,A,2
LA LUZERNE,A,1
LA LUZERNE,B,1
LA MOTTE,A,2
LA MOTTE,B,1
LACHICOTTE,A,1
LACKEY,A,5
LACKEY,B,6
LAHOOD,A,1
LAIL,A,1
LAMBERT,A,7
LAMBERT,B,3
LAMBERTSON,A,1
LAMBERTSON,B,1
LAMBETH,A,1
LAMBETH,B,1
LAMM,B,2
LAMONT,B,1
LAMOORE,A,1
LAMOTTE,B,1
LAMSON,B,1
LANCASTER,A,2
LANCASTER,B,1
LANCE,A,2
LANCE,B,2
LANDIS,A,3
LANDIS,B,2
LANDON,A,1
LANDON,B,1
LANDRESS,A,3
LANDRESS,B,4
LANDRY,A,2
LANDRY,B,2
LANE,A,12
LANE,B,7
LANG,A,4
LANG,B,5
LANGAN,A,2
LANGAN,B,2
LANGDON,A,1
LANGE,A,1
LANGE,B,1
LANGFORD-MOORE,A,1
LANGLEY,A,1
LANGLEY,B,1
LANGNER,A,1
LANGNER,B,1
LANIER,A,2
LANIER,B,2
LANKFORD,A,1
LANKFORD,B,1
LANTZ,A,2
LANTZ,B,1
LAPPIN,A,2
LAPPIN,B,2
LARA,B,1
LARKIN,B,1
LARKINS,A,2
LARKINS,B,2
LARSEN,A,1
LARSON,B,1
LASSITER,A,5
LASSITER,B,5
LATCHAM,B,2
LATHAM,A,1
LATHAM,B,2
LATIMER,A,2
LATIMER,B,2
LAUFER,A,2
LAUFER,B,2
LAUGHIN,A,1
LAUGHIN,B,1
LAUGHRIDGE,A,2
LAUGHRIDGE,B,2
LAUGHRUN,A,11
LAUGHRUN,B,9
LAUNIER,A,1
LAURA,A,2
LAURA,B,1
LAW,A,1
LAWHERN,A,4
LAWHERN,B,4
LAWLESS,A,1
LAWLESS,B,1
LAWRENCE,A,7
LAWRENCE,B,6
LAWS,A,149
LAWS,B,138
LAWSON,A,2
LAWSON,B,1
LAWTON,A,1
LAY,B,2
LAYELL,A,5
LAYELL,B,5
LAYTON,A,1
LEACH,A,1
LEACH,B,1
LEADBETTER,A,2
LEADBETTER,B,2
LEADBITTER,A,1
LEADBITTER,B,2
LEADENHAM,B,1
LEAGUE,B,1
LEAHY,A,2
LEAHY,B,2
LEARNED,B,2
LEAVITT,A,3
LEAVITT,B,2
LEBLANC,A,1
LECKENBY,A,1
LECKENBY,B,1
LEDBETTER,A,1
LEDFORD,A,100
LEDFORD,B,105
LEE,A,20
LEE,B,15
LEGGETT,A,1
LEGGETT,B,1
LEHARDY,A,1
LEHARDY,B,1
LEHMAN,A,2
LEHMAN,B,1
LEIGH,A,1
LEIKUS,A,1
LEIKUS,B,1
LEINER,A,2
LEINER,B,2
LEISNER,A,1
LEISNER,B,1
LELAND,B,2
LEMASTER,A,5
LEMASTER,B,4
LEMIEUX,A,1
LEMIEUX,B,1
LENTZ,A,1
LENTZ,B,1
LEONARD,A,2
LEONARD,B,1
LEPIDI,B,1
LEPORE,A,3
LEPORE,B,1
LERCARA,B,1
LESESNE,A,1
LESESNE,B,1
LESLIE,A,1
LETTERMAN,A,42
LETTERMAN,B,47
LEVIN,A,3
LEVIN,B,2
LEWELLEN,A,2
LEWELLEN,B,1
LEWIS,A,24
LEWIS,B,25
LEYDIG,A,1
LEYSHON,A,3
LEYSHON,B,3
LEYVA,B,1
LIABENOW,A,1
LIBBY,A,1
LIBBY,B,1
LIBOW,B,1
LICCARDI,A,1
LICCARDI,B,1
LIFRAGE,A,1
LIFRAGE,B,1
LILES,A,2
LILES,B,1
LIMONGELLO,B,2
LINDA,A,1
LINDAHL,B,1
LINDBERG,A,1
LINDBERG,B,1
LINDEMAN,A,2
LINDEMAN,B,2
LINDENAUX,A,1
LINDENAUX,B,1
LINDSAY,A,4
LINDSAY,B,1
LINDSEY,A,2
LINDSEY,B,1
LINVILLE,A,1
LINVILLE,B,1
LISENBEE,A,1
LISENBEE,B,2
LISENBY,A,1
LISENBY,B,1
LISTER,A,3
LISTER,B,3
LITTLE,A,3
LITTLE,B,5
LIVENGOOD,A,1
LIVENGOOD,B,1
LIVINGSTON,A,2
LIVINGSTON,B,1
LOCK,A,1
LOCK,B,1
LOCKYER,A,1
LOCKYER,B,1
LOCURTO,B,1
LODGE,A,1
LODGE,B,2
LOEHR,B,2
LOFTIS,A,22
LOFTIS,B,18
LOGAN,A,1
LOGAN,B,1
LOHR,B,1
LOLLO,A,1
LOLLO,B,1
LOMBARDO,A,1
LONG,A,4
LONG,B,4
LOONEY,A,1
LOONEY,B,2
LOOS,A,1
LOPEMAN,A,1
LOPEMAN,B,1
LOPEZ,A,2
LOPEZ,B,2
LORENZO,A,4
LORENZO,B,3
LORIEN,A,1
LORIEN,B,1
LOU,A,1
LOUDERMILK,B,1
LOUDON,A,2
LOUDON,B,2
LOUIS,A,1
LOUIS,B,1
LOVELACE,A,1
LOVELAND,A,3
LOVELAND,B,2
LOVIN,A,3
LOVIN,B,5
LOVREK,A,1
LOVREK,B,1
LOW,A,2
LOW,B,1
LOWE,A,1
LOWE,B,1
LOWERY,A,3
LOWERY,B,5
LOWMAN,A,3
LOWMAN,B,2
LOWMILLER,A,4
LOWMILLER,B,2
LOWRY,A,2
LOWRY,B,2
LOY,B,2
LUCAS,A,1
LUCAS,B,1
LUCIER,A,1
LUCIER,B,1
LUDWIG,A,2
LUDWIG,B,2
LUFT,A,1
LUKE,A,1
LUKER,A,1
LUKER,B,1
LUNA,B,1
LUNDQUIST,A,1
LUNDQUIST,B,1
LUNDY,B,1
LUNDY-JONES,A,1
LUNSFORD,A,2
LUNSFORD,B,4
LURIE,A,1
LUSK,A,6
LUSK,B,4
LUSTIG,A,1
LUTTRELL,A,1
LUTTRELL,B,1
LUVAGA,A,1
LUYCKX,A,1
LUYCKX,B,1
LUZ,A,1
LUZ,B,1
LYDA,A,4
LYDA,B,5
LYNCH,A,1
LYNCH,B,4
LYNES,A,1
LYNES,B,1
LYNN,A,1
LYONS,A,4
LYONS,B,4
MAC DANIEL,A,1
MAC MICHAEL,A,1
MAC MICHAEL,B,1
MACDANIEL,B,1
MACDONALD,A,1
MACDONALD,B,1
MACE,A,12
MACE,B,10
MACIAS,A,2
MACIAS,B,2
MACISAAC,A,1
MACISAAC,B,1
MACK,A,3
MACK,B,2
MACKEY,A,1
MACKING,A,1
MACKING,B,1
MACLACHLAN,B,1
MACLEAN,A,2
MACLEAN,B,1
MACLEOD,A,1
MACLEOD,B,1
MACMICHAEL,A,1
MACMICHAEL,B,1
MACPHERSON,A,2
MACPHERSON,B,2
MADDOX,A,4
MADDOX,B,4
MADISON,A,1
MADRID,A,1
MADRID,B,1
MAGANA,B,3
MAGERS,A,1
MAGERS,B,1
MAGGS,A,3
MAGGS,B,3
MAGLIETTA,B,1
MAGRANE,B,1
MAGUIRE-RAAB,A,1
MAGUIRE-RAAB,B,1
MAHER,A,4
MAHER,B,5
MAHONEY,A,3
MAHONEY,B,2
MAHRIE,A,1
MAHRIE,B,1
MAIER,A,2
MAINOUS,A,2
MAINOUS,B,2
MAINSTER,A,2
MAINSTER,B,2
MAKINGS,A,4
MAKINGS,B,3
MALCUIT,A,2
MALCUIT,B,3
MALDONADO,A,1
MALDONADO,B,1
MALIN,B,2
MALONE,A,2
MALONE,B,2
MALOUIN,A,1
MALTBA,A,4
MALTBA,B,4
MANDALA,A,5
MANDALA,B,3
MANDL,A,1
MANDL,B,1
MANECK,A,1
MANECK,B,1
MANESS,A,4
MANESS,B,4
MANEY,A,16
MANEY,B,12
MANFRE,A,2
MANFRE,B,2
MANGUM,A,1
MANGUM,B,1
MANIS,A,1
MANIS,B,1
MANN,A,4
MANN,B,3
MANNING,A,1
MANNING,B,1
MANSFIELD,A,1
MANSFIELD,B,1
MAPES,A,1
MAPES,B,1
MARCELLO,A,2
MARCHETTI,A,2
MARCHETTI,B,1
MARCIAS,B,1
MARCO,A,1
MARCO,B,1
MARCUM,A,3
MARCUM,B,3
MAREN,A,2
MAREN,B,2
MAREN-HOGAN,A,3
MAREN-HOGAN,B,2
MARICLE,A,1
MARICLE,B,1
MARINO,A,2
MARINO,B,2
MARION,A,1
MARKHAM,A,1
MARKHAM,B,1
MARKLEY,A,2
MARKLEY,B,2
MARKS,A,1
MARKS,B,1
MARKUS,A,1
MARLOW,A,2
MARLOW,B,2
MARLOWE,A,3
MARLOWE,B,3
MARRELLI,A,2
MARRELLI,B,2
MARSH,A,11
MARSH,B,12
MARSHALL,A,5
MARSHALL,B,5
MARTENSON,A,1
MARTENSON,B,1
MARTIN,A,28
MARTIN,B,27
MARTINDALE,A,2
MARTINDALE,B,3
MARTINEZ,A,5
MARTINEZ,B,10
MARTINEZ RICO,A,1
MARTZ,A,2
MARTZ,B,1
MASHBURN,A,2
MASHBURN,B,2
MASON,A,7
MASON,B,9
MASON-BOUTERSE,A,1
MASON-BOUTERSE,B,1
MASON MILLER,B,1
MAST,B,2
MASTEN,A,2
MASTEN,B,1
MASTERS,A,5
MASTERS,B,4
MASTROPAOLO,A,3
MASTROPAOLO,B,3
MATELSKI,A,3
MATELSKI,B,3
MATESZ,B,1
MATHENY,A,1
MATHENY,B,1
MATHESON,A,1
MATHESON,B,1
MATHEWS,A,1
MATHIS,A,19
MATHIS,B,19
MATHSON,B,1
MATNEY,B,2
MATTHEW,A,1
MATTHEWS,A,4
MATTHEWS,B,4
MATTHIESEN,A,1
MAUNEY,A,2
MAUNEY,B,3
MAXIMILLIAN,A,2
MAXIMILLIAN,B,2
MAXON,A,1
MAXWELL,A,4
MAXWELL,B,6
MAY,B,1
MAYBERRY,A,2
MAYBERRY,B,2
MAYES,A,2
MAYES,B,2
MAYHEW,A,2
MAYHEW,B,2
MAYNARD,A,2
MAYNARD,B,1
MAYNOR,A,1
MAYNOR,B,1
MAYO,A,1
MAYO,B,1
MAYS,A,1
MAZZAGATTI,A,2
MAZZAGATTI,B,2
MCALISTER,A,1
MCALISTER,B,1
MCALLISTER,A,4
MCALLISTER,B,3
MCAULIFFE,A,2
MCAULIFFE,B,2
MCBRIDE,A,3
MCBRIDE,B,4
MCCABE,A,1
MCCABE,B,3
MCCALL,A,4
MCCALL,B,4
MCCALLISTER,A,3
MCCALLISTER,B,3
MCCANDLESS,A,5
MCCANDLESS,B,3
MCCANLESS,A,6
MCCANLESS,B,5
MCCANN,A,1
MCCANN,B,1
MCCART,A,2
MCCART,B,2
MCCARTHY,A,1
MCCARTY,A,3
MCCARTY,B,4
MCCASLIN,A,1
MCCASLIN,B,1
MCCAULLEY,A,2
MCCAULLEY,B,2
MCCLAIN,A,1
MCCLARY,A,1
MCCLARY,B,1
MCCLELLAN,A,1
MCCLURE,A,5
MCCLURE,B,5
MCCLUSKEY,A,1
MCCOLLUM,A,1
MCCONNELL,A,4
MCCONNELL,B,4
MCCOOL,A,1
MCCOOL,B,3
MCCORMACK,A,1
MCCORMACK,B,1
MCCOURRY,A,21
MCCOURRY,B,21
MCCOURY,A,1
MCCOURY,B,1
MCCOY,A,3
MCCOY,B,3
MCCOYLE,A,3
MCCOYLE,B,3
MCCRACKEN,A,6
MCCRACKEN,B,6
MCCRAW,A,4
MCCRAW,B,2
MCCROSKEY,A,2
MCCROSKEY,B,2
MCCULLER,A,1
MCCULLER,B,1
MCCULLOUGH,A,1
MCCULLOUGH,B,2
MCCURRY,A,113
MCCURRY,B,109
MCDANIEL,A,2
MCDANIEL,B,1
MCDARIS,A,1
MCDONALD,B,1
MCDOUGALD,A,3
MCDOUGALD,B,2
MCDOWELL,A,19
MCDOWELL,B,19
MCELFRESH,A,1
MCELFRESH,B,1
MCELROY,B,1
MCENTYRE,A,8
MCENTYRE,B,7
MCFADDEN,A,2
MCFADDEN,B,2
MCFALING,B,1
MCFALLS,A,12
MCFALLS,B,11
MCFARLAND,A,5
MCFARLAND,B,7
MCFARLANE,A,2
MCFARLANE,B,3
MCFARLING,A,2
MCFARLING,B,2
MCFAYDEN,B,1
MCFEE,A,4
MCFEE,B,5
MCGAHA,A,2
MCGAHA,B,1
MCGAHAN,A,1
MCGAHEY,A,2
MCGAHEY,B,2
MCGALLIARD,A,3
MCGALLIARD,B,3
MCGEE,A,14
MCGEE,B,11
MCGINN,B,1
MCGINNIS,A,2
MCGINNIS,B,3
MCGINTY,A,1
MCGINTY,B,2
MCGRATH,A,3
MCGRATH,B,3
MCGRAW,A,3
MCGRAW,B,1
MCGROARTY,B,1
MCGUINNES,B,1
MCGUIRE,A,2
MCGUIRE,B,4
MCHONE,A,4
MCHONE,B,6
MCILVAINE,A,2
MCILVAINE,B,2
MCINTOSH,A,119
MCINTOSH,B,114
MCINTURFF,A,1
MCINTURFF,B,1
MCINTYRE,A,7
MCINTYRE,B,6
MCKAY,A,1
MCKEE,A,1
MCKEE,B,1
MCKEEHAN,A,1
MCKEEHAN,B,2
MCKELVY,A,1
MCKELVY,B,1
MCKEMY,A,1
MCKEMY,B,1
MCKINNEY,A,98
MCKINNEY,B,92
MCKINNIE,B,2
MCKNIGHT,A,1
MCKNIGHT,B,1
MCKOWN,A,1
MCLAIN,A,1
MCLAIN,B,2
MCLAUGHLIN,A,5
MCLAUGHLIN,B,7
MCLEAN,A,2
MCLEAN,B,2
MCLEOD,A,3
MCLEOD,B,2
MCLURE,A,1
MCLURE,B,1
MCMAHAN,A,95
MCMAHAN,B,93
MCMANNAMY,A,1
MCMANNAMY,B,1
MCMILLAN,A,2
MCMILLAN,B,4
MCMILLON,A,1
MCMILLON,B,2
MCMINN,A,2
MCMINN,B,1
MCNEILL,A,6
MCNEILL,B,6
MCPETERS,A,31
MCPETERS,B,29
MCPHEE,A,4
MCPHEE,B,3
MCQUAID,A,2
MCQUAID,B,1
MCQUEEN,A,5
MCQUEEN,B,4
MCRARY,A,1
MCRARY,B,1
MCROBIE,A,1
MCROBIE,B,1
MCTAGGART,A,2
MCTAGGART,B,1
MCWHIRTER,A,5
MCWHIRTER,B,7
MCWHIRTER - BUCK,A,1
MCWHIRTER - BUCK,B,1
MEADE,A,3
MEADE,B,2
MEADOWS,A,4
MEADOWS,B,5
MEANS,A,1
MEARES,A,2
MEARES,B,2
MEAUX,A,1
MEAUX,B,1
MEDFORD,A,1
MEDFORD,B,1
MEDINA,A,2
MEDINA,B,2
MEEKS,A,1
MEEKS,B,1
MEHAFFEY,A,1
MEHAFFEY,B,1
MEHIEL,B,1
MEHTA,A,3
MEHTA,B,1
MEIER,B,2
MEINZER,B,2
MEIRON,A,1
MEIRON,B,1
MEISTER,A,1
MEISTER,B,1
MEJIA,A,1
MELECIO,A,1
MELECIO,B,1
MELECIO-GONZALEZ,A,1
MELECIO-GONZALEZ,B,1
MELENDEZ,B,1
MELINN,A,2
MELINN,B,2
MELINO,A,1
MELLEN,A,1
MELLO,A,2
MELLON,A,1
MELTON,A,10
MELTON,B,9
MENCIS,B,3
MENDEZ,A,2
MENDEZ,B,1
MENNIG,A,2
MENNIG,B,1
MERCER,A,4
MERCER,B,3
MERCK,B,1
MERLIN,B,2
MERTEN,A,2
MERTEN,B,2
MERZ,A,2
MERZ,B,2
MESSEMER,B,1
MESSENGER,A,4
MESSENGER,B,4
MESSNER,A,1
METCALF,A,26
METCALF,B,22
METZNER,B,1
MEYER,A,2
MEYER,B,1
MEYERS,A,3
MEYERS,B,1
MHOON,A,1
MICHAEL,A,6
MICHAEL,B,1
MICHAELS,A,2
MICHAELS,B,3
MIELE,A,3
MIELE,B,3
MIFFLIN,A,2
MIFFLIN,B,2
MIGON,A,2
MIGON,B,2
MIKEL,B,1
MILBY,A,1
MILES,A,2
MILLARD,A,2
MILLARD,B,2
MILLEN,A,2
MILLEN,B,2
MILLER,A,150
MILLER,B,145
MILLS,A,2
MILLS,B,2
MILOFSKY,A,1
MILOFSKY,B,1
MILTON,A,2
MILTON,B,1
MIMKEN,B,2
MIMS,A,3
MIMS,B,4
MINCEY,A,1
MINCEY,B,1
MINOR,B,1
MINUTOLI,A,1
MINUTOLI,B,1
MISCH,B,1
MITCHELL,A,38
MITCHELL,B,39
MITRANI,B,1
MIXON,B,1
MIZE,A,1
MIZE,B,1
MIZELL,A,4
MIZELL,B,3
MOFFETT,A,2
MOFFETT,B,2
MOLNAR,A,1
MOLNAR,B,1
MOLPUS,A,2
MOLPUS,B,2
MONAGHAN,B,1
MONALDI,A,1
MONALDI,B,1
MONCCRIEF,B,1
MONCRIEF,A,2
MONCRIEF,B,1
MONDRAGON-WRIGHT,B,1
MONFORT,B,1
MONROE,A,2
MONROE,B,2
MONTANA,B,1
MONTANYE,A,1
MONTANYE,B,1
MONTEITH,A,1
MONTGOMERY,A,5
MONTGOMERY,B,6
MONTREUIL,B,1
MOODY,B,1
MOON,B,2
MOORE,A,48
MOORE,B,44
MOORHEAD,A,1
MOREHEAD,A,2
MOREHEAD,B,2
MOREY,A,2
MORGAN,A,19
MORGAN,B,17
MORRELL,A,1
MORRELL,B,2
MORRILL,A,2
MORRILL,B,2
MORRIN,B,1
MORRIS,A,9
MORRIS,B,5
MORRISON,A,6
MORRISON,B,5
MORROW,A,29
MORROW,B,33
MORSE,A,2
MORSE,B,6
MOSES,A,2
MOSES,B,2
MOSLEY,A,1
MOSLEY,B,1
MOSS,A,11
MOSS,B,12
MOTLEY,A,1
MOTTE,A,2
MOTTE,B,1
MOTYL,B,1
MOYA,A,2
MOYA,B,2
MOYE,A,1
MOYE,B,1
MOYER,B,1
MUELLER,A,1
MUELLER,B,1
MULLIN,A,1
MULLINAX,A,1
MULLINAX,B,1
MULLIS,A,1
MULLIS,B,2
MUMMERT,A,2
MUMMERT,B,1
MUNCY,A,1
MUNCY,B,1
MUNDY,A,3
MUNDY,B,2
MURDOCK,A,2
MURDOCK,B,4
MURI,A,2
MURPHEY,A,2
MURPHEY,B,2
MURPHY,A,97
MURPHY,B,85
MURR,A,2
MURR,B,1
MURRAY,A,6
MURRAY,B,8
MUSIC,A,2
MUSIC,B,1
MUSICK,A,5
MUSICK,B,5
MUTEL,A,1
MUTEL,B,1
MYERS,A,6
MYERS,B,4
NAGGE,A,1
NAGGE,B,1
NAGLE,A,2
NAGLE,B,2
NAILOR,A,2
NAILOR,B,2
NANNEY,A,7
NANNEY,B,4
NAOMI,A,1
NAPIER,A,1
NASH,A,8
NASH,B,5
NASON,A,4
NASON,B,3
NEAL,A,7
NEAL,B,6
NEIGHBORS,A,2
NEIGHBORS,B,2
NEIL,A,3
NEIL,B,3
NEILL,A,10
NEILL,B,11
NEILSON,A,1
NELSON,A,11
NELSON,B,10
NERO,A,1
NES,A,1
NES,B,1
NESBITT,A,1
NESBITT,B,1
NESMITH,B,1
NESS,A,2
NESS,B,3
NETHERTON,B,1
NETTER,A,1
NETTER,B,1
NETTLES,A,1
NETTLES,B,1
NEUBERG,A,2
NEUBERG,B,2
NEUMANN,B,1
NEVEU,A,1
NEVEU,B,1
NEWBERRY,A,4
NEWBERRY,B,4
NEWBURY,A,1
NEWBURY,B,1
NEWCOMER,B,2
NEWELL,A,1
NEWELL,B,1
NEWMAN,A,4
NEWMAN,B,4
NEWSON,A,1
NEWSON,B,2
NEWTON,A,3
NEWTON,B,4
NICE-WEBB,B,1
NICHOLIE,A,1
NICHOLIE,B,1
NICHOLS,A,2
NICHOLS,B,1
NICHOLSON,A,6
NICHOLSON,B,6
NICHOLSON-CHRISTEN,A,1
NICHOLSON-CHRISTEN,B,1
NICKLAW,A,2
NICKLAW,B,2
NICKLOW,A,1
NICKLOW,B,1
NICKS,A,2
NICKS,B,2
NICOLAI,A,1
NIEDERMEIER,A,1
NIEDERMEIER,B,1
NIEHAUS,A,2
NIEHAUS,B,2
NIELSEN,A,2
NIELSEN,B,1
NIXON,A,2
NIXON,B,2
NOAH,A,1
NOBLE,A,3
NOBLE,B,2
NOBLITT,A,3
NOBLITT,B,3
NODURFT,A,1
NOE,A,1
NOGEL,A,1
NOGEL,B,1
NOLIN,A,1
NOLIN,B,1
NOLL,B,2
NORMAN,A,4
NORMAN,B,2
NORRIS,A,14
NORRIS,B,12
NORTH,A,1
NORTHINGTON,A,2
NORTHINGTON,B,2
NORTON,A,19
NORTON,B,19
NORTON-ROBBINS,A,1
NORTON FOX,B,1
NORVELL,A,2
NORVELL,B,2
NORWOOD,A,1
NUGENT,A,1
NUGENT,B,1
NUNES,A,2
NUNES,B,4
NUNEZ,A,1
NUNEZ,B,1
NUNLEY,A,1
NUNLEY,B,2
NWAOZOMUDOH-ANAZIA,A,1
NWAOZOMUDOH-ANAZIA,B,1
NYE,A,2
NYEGARD,B,1
O'DELL,A,2
O'DELL,B,2
O'HAGAN,B,1
O'HARA,A,1
O'HARA,B,1
O'ROURKE,A,1
O'ROURKE,B,1
O'SHIELDS,A,1
O'SHIELDS,B,1
O'SULLIVAN,A,1
O'TOOLE,A,1
O'TOOLE,B,1
O DONNELL,A,1
O DONNELL,B,1
O HAGEN,A,1
OAKES,A,1
OAKLEY,A,1
OAKLEY,B,1
OATES,B,2
OBRIEN,B,1
OCONNOE,B,1
ODELL-TESTER,A,1
ODOM,A,1
ODOM,B,1
ODONNELL,B,1
OEHLKE,B,1
OESCH,A,2
OESCH,B,2
OETTING,A,2
OETTING,B,3
OGLE,A,20
OGLE,B,21
OHLE,A,1
OHLE,B,1
OHRBERG,A,1
OHTA,A,1
OHTA,B,1
OHTA-WEIR,B,1
OLIPHANT,B,1
OLIVER,A,2
OLIVER,B,2
OLLIS,A,8
OLLIS,B,8
OLSEN,A,1
OLSEN,B,1
OLSON,A,2
OLSON,B,2
OLSON GUY,B,1
OLTMANN,A,1
OMONDI,A,1
OMONDI,B,1
OMRON,A,1
OMRON,B,1
ONEY,A,1
ONEY,B,1
OPPERT,A,1
OPPERT,B,1
OPPLIGER,A,2
OPPLIGER,B,2
ORMOND,A,1
ORMOND,B,1
OROVITZ,A,1
OROVITZ,B,1
ORR,A,3
ORR,B,4
ORTAGUS,A,2
ORTIZ,B,2
ORTIZ-FABIAN,B,1
OSADA,A,2
OSADA,B,2
OSBON,A,1
OSBORNE,A,2
OSBORNE,B,7
OSCARSON,A,1
OSCARSON,B,1
OVERDORFF,A,2
OVERMYER,B,1
OWEN,A,2
OWEN,B,2
OWENBY,A,2
OWENBY,B,3
OWENS,A,9
OWENS,B,9
OWENSBY,A,5
OWENSBY,B,4
OYE,A,1
OYE,B,1
OZENGHAR,A,1
OZENGHAR,B,1
PACH,A,1
PACK,A,2
PACK,B,2
PACKETT,A,1
PAEZ-TOVAR,A,1
PAEZ-TOVAR,B,1
PAGE,A,2
PAGE,B,2
PAGELS,A,1
PAGELS,B,1
PAIGE,A,3
PAIGE,B,2
PAINTER,A,1
PAINTER,B,1
PALLICK,A,1
PALLICK,B,1
PALM,A,1
PALM,B,3
PALMER,A,3
PALMER,B,5
PALUMBO,A,1
PALUMBO,B,1
PANDOLFI,A,1
PANDOLFI,B,1
PANZARELLA,A,1
PANZARELLA,B,1
PARCHMAN,A,2
PARDUE,B,1
PARK,A,1
PARK,B,1
PARKER,A,43
PARKER,B,41
PARKS,A,2
PARKS,B,2
PARLIER,A,4
PARLIER,B,3
PARMELEE,A,3
PARMELEE,B,3
PARNITZKE,A,2
PARNITZKE,B,2
PARRINO,A,1
PARRINO,B,1
PARROTT,A,4
PARROTT,B,4
PARRY,B,1
PARSLEY,A,4
PARSLEY,B,5
PARSONS,A,1
PARSONS,B,1
PASS,A,1
PASS,B,1
