lname,src,n
BRYANT-LAWS,A,1
BRYANT-LAWS,B,1
BRYANT-RENFRO,A,1
BRYANT-RENFRO,B,1
BUCHANAN,A,166
BUCHANAN,B,181
BUCHHOLZ,A,3
BUCHHOLZ,B,3
BUCK,A,2
BUCK,B,2
BUCKNER,A,45
BUCKNER,B,42
BUETTNER,A,2
BUETTNER,B,2
BUILDER,B,1
BUKER,B,1
BULL,B,1
BUMGARNER,A,1
BUMGARNER,B,1
BUNN,B,1
BUNTON,A,1
BUNTON,B,1
BURCKLEY,A,3
BURCKLEY,B,3
BURFORD,A,5
BURFORD,B,5
BURGE,A,3
BURGE,B,4
BURGESS,A,1
BURGESS,B,1
BURGIN,A,6
BURGIN,B,6
BURGNER,B,2
BURGOYNE,A,1
BURKE,A,3
BURKE,B,4
BURKS,B,1
BURLESON,A,54
BURLESON,B,60
BURNETT,A,7
BURNETT,B,7
BURNETTE,A,14
BURNETTE,B,12
BURNS,A,6
BURNS,B,10
BURRELL,A,1
BURRESS,B,1
BURRIS,A,1
BURRUS,B,1
BURTON,A,2
BURTON,B,1
BUSH,A,2
BUSH,B,2
BUSTLE,B,2
BUTLER,A,5
BUTLER,B,6
BUTNER,A,9
BUTNER,B,7
BUTT,A,1
BUTT,B,1
BUTTKE,A,3
BUTTKE,B,2
BUTTRAM,B,1
BUXBAUM,B,4
BUZA,B,1
BUZENBERG,A,1
BUZENBERG,B,1
BYERS,A,1
BYERS,B,1
BYRD,A,74
BYRD,B,63
BYRNE,B,2
CADE,A,4
CADE,B,3
CAIN,A,3
CAIN,B,3
CALDWELL,A,1
CALDWELL,B,2
CALKINS,A,2
CALKINS,B,2
CALL,A,1
CALL,B,2
CALLAHAN,A,8
CALLAHAN,B,8
CALLAWAY,B,1
CALLIHAN,A,2
CALLIHAN,B,2
CALLOWAY,A,4
CALLOWAY,B,5
CAMBY,A,1
CAMBY,B,1
CAMERON,B,1
CAMP,A,4
CAMP,B,3
CAMPBELL,A,17
CAMPBELL,B,13
CAMPER,A,4
CAMPER,B,4
CANAAN,A,3
CANAAN,B,3
CANIPE,A,18
CANIPE,B,15
CANN,A,2
CANN,B,2
CANNON,A,30
CANNON,B,29
CANON,A,1
